หน้า (PAGE),รหัสสินค้า (PART NUMBER),รหัสเดิม (OLD NO.),ยี่ห้อ/OEM,เลขอ้างอิง (CROSS REFERENCE),รุ่นรถ/หมายเหตุ (APPLICATION)
7,ST10716,JX716,HITACHI,4429726,
7,ST10716,JX716,FLEETGUARD,LF3478,
7,ST10716,JX716,DONALDSON,P551381,
7,ST10717,JX717,HITACHI,4296675,
7,ST10717,JX717,FLEETGUARD,LF3587 2446U311-1,
7,ST10717,JX717,DONALDSON,P550420 ME088519,
7,ST10718,JX718,HITACHI,4285642,
7,ST10718,JX718,FLEETGUARD,LF3546 8-97026134-2,
7,ST10718,JX718,DONALDSON,P551257,
7,ST10719,JX719,,ME074013 2451U324-1,
7,ST10719,JX719,FLEETGUARD,LF3586 B222100000551 P552562,
7,ST10719,JX719,DONALDSON,P552562,
8,ST10720,JX720,HITACHI,4429727,
8,ST10720,JX720,FLEETGUARD,LF3542,
8,ST10720,JX720,DONALDSON,P550777,
8,ST10721,JX721,DAEWOO,65.05510-5016  5007S,
8,ST10721,JX721,HITACHI,2474Y9037B,
8,ST10721,JX721,FLEETGUARD,LF3715,
8,ST10721B,,SANY,B222100000494,
8,ST10721B,,FLEETGUARD,LF16045,
8,ST10721B,,DONALDSON,P550596,
8,ST10722,JX722,DAEWOO,65.05510-5009S,
8,ST10722,JX722,HITACHI,2474Y9014C,
8,ST10722,JX722,FLEETGUARD,LF3349,
8,ST10722,JX722,DONALDSON,P558615,
8,ST10724  ST10808,JX724,KOMATSU,6135-51-5141 6735-51-5142,
8,ST10724  ST10808,JX724,FLEETGUARD,LF3349 6736-51-5142,
8,ST10724  ST10808,JX724,DONALDSON,P558615 P550909,
8,ST10725,JX725,KOMATSU,600-211-1231,
8,ST10725,JX725,FLEETGUARD,LF747,
8,ST10725,JX725,DONALDSON,P551670,
8,ST10727,JX727,,689-3570-3031,
8,ST10728,JX728,KOMATSU,600-211-6242,
8,ST10728,JX728,FLEETGUARD,LF3415,
8,ST10728,JX728,DONALDSON,P550719,
8,ST10729,JX729,HITACHI,4183853  KS209-1,
8,ST10729,JX729,FLEETGUARD,LF3642 8-94321219-1 / 4183853/  2451U309-1,
8,ST10729,JX729,DONALDSON,P550422,
8,ST10730,JX730,,ME014838,
8,ST10730,JX730,FLEETGUARD,LF3524,
8,ST10730,JX730,DONALDSON,P550242,
8,ST10734,JX734,,ME034611,
8,ST10734,JX734,FLEETGUARD,LF3514,
8,ST10734,JX734,DONALDSON,P550378,
8,ST10735,JX735,,ME064356,
8,ST10735,JX735,FLEETGUARD,LF3447,
8,ST10735,JX735,DONALDSON,P550066,
8,ST10738,JX738,KOMATSU,6132-51-5140,
8,ST10738,JX738,FLEETGUARD,LF3345,
8,ST10738,JX738,DONALDSON,P558616,
8,ST10739,JX739,ISUZU,8-97049708-1,
8,ST10739,JX739,FLEETGUARD,LF3786,
8,ST10739,JX739,DONALDSON,P502039,
9,ST10741,JX741,NISSAN,15208-31N00,
9,ST10741,JX741,FLEETGUARD,LF3644,
9,ST10741,JX741,DONALDSON,P502007,
9,ST10742,JX742,TOYOTA,90915-10001  103001,
9,ST10742,JX742,FLEETGUARD,LF3614,
9,ST10742,JX742,DONALDSON,P502015,
9,ST10745,JX745,TOYOTA,15601-33021,
9,ST10745,JX745,FLEETGUARD,LF3599,
9,ST10745,JX745,DONALDSON,P550227,
9,ST10746,JX746S,TOYOTA,90915-30002/03006,
9,ST10746,JX746S,FLEETGUARD,LF3608,
9,ST10746,JX746S,DONALDSON,P550597,
9,ST10746D,JX746D,TOYOTA,90915-30002/03006,
9,ST10746D,JX746D,FLEETGUARD,LF3608,
9,ST10746D,JX746D,DONALDSON,P550597,
9,ST10747,JX747S,TOYOTA,90915-30003                  30001,
9,ST10747,JX747S,FLEETGUARD,LF3849,
9,ST10747,JX747S,DONALDSON,P502017,
9,ST10747D,JX747D,TOYOTA,90915-30003                  30001,
9,ST10747D,JX747D,FLEETGUARD,LF3849,
9,ST10748,JX748,TOYOTA,15600-25010,
9,ST10748,JX748,FLEETGUARD,LF3400,
9,ST10748,JX748,DONALDSON,P550882,
9,ST10751,JX751,KAMOINS,600-211-2110,
9,ST10751,JX751,FLEETGUARD,LF16011,
9,ST10751,JX751,DONALDSON,P550589,
9,ST10751B,,FLEETGUARD,LF16011,
9,ST10751B,,DONALDSON,P550335,
9,ST10755,JX755,AC,PF47,
9,ST10755,JX755,GMC,25010792,
9,ST10755,JX755,FLEETGUARD,LF780,
9,ST10755,JX755,DONALDSON,P550047,
9,ST10758,JX758,HITACHI,4429728,
9,ST10758,JX758,FLEETGUARD,LF3328,
9,ST10758,JX758,DONALDSON,P556007,
9,ST10759,JX759,HITACHI,4429729                     15607-1731/2,
9,ST10759,JX759,FLEETGUARD,LF3618,
9,ST10759,JX759,DONALDSON,P552050  P550422,
9,ST10762,JX762,FLEETGUARD,LF16112,
10,ST10767,JX767,HITACHI,4484495  4622562 4658521,
10,ST10767,JX767,FLEETGUARD,LF16045,
10,ST10767,JX767,DONALDSON,P550596,
10,ST10768,JX768,HITACHI,15607-2190,
10,ST10768,JX768,FLEETGUARD,LF16110,
10,ST10768,JX768,DONALDSON,P502364,
10,ST10773,JX773,CATERPILLAR,1R0739  2P4004 1R1807,
10,ST10773,JX773,FLEETGUARD,LF667,
10,ST10773,JX773,DONALDSON,P554004,
10,ST10775,JX775,CATERPILLAR,1R0716  2P4005,
10,ST10775,JX775,FLEETGUARD,LF619A,
10,ST10775,JX775,DONALDSON,P554005,
